Вакансия,Город,Работадатель,Специальность,Зп. от,Зп. до,Тип занятости,Опыт
Менеджер по продаже загородной недвижимости,Красноярск,Центр Загородной Недвижимости Кедр,Прямые продажи,45000,80000,Полный день,Нет опыта
Менеджер по продаже загородной недвижимости,Москва,Этажи Москва,Прямые продажи,120000,350000,Полный день,Нет опыта
Менеджер по продаже загородной недвижимости,Подольск,Семь Высоток,Прямые продажи,70000,150000,Полный день,Нет опыта
Менеджер по продаже загородной недвижимости,Севастополь,Центр Недвижимости РК,Прямые продажи,100000,350000,Полный день,Нет опыта
Менеджер по продаже загородной недвижимости,Симферополь,Центр Недвижимости РК г. Симферополь,Прямые продажи,100000,350000,Гибкий график,Нет опыта
Менеджер по продаже загородной недвижимости,Ставрополь,Этажи Северный Кавказ,Прямые продажи,70000,100000,Гибкий график,Нет опыта
Менеджер по продаже загородной недвижимости в Домодедово,Домодедово,Семь Высоток,Дилерские сети,70000,180000,Гибкий график,Нет опыта
Менеджер по продаже земельных участков и домов,Севастополь,Центр Недвижимости РК,Прямые продажи,50000,350000,Гибкий график,Нет опыта
Менеджер по продаже и аренде коммерческой недвижимости,Новороссийск,Перспектива,Прямые продажи,100000,200000,Полный день,От 1 года до 3 лет
Менеджер по продаже и аренде недвижимости,Краснодар,Вектор Коммерц,Прямые продажи,80000,250000,Полный день,Нет опыта
Менеджер по продаже и сдаче в аренду коммерческой недвижимости,Севастополь,PRO Недвижимость,Прямые продажи,50000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Анапа,Century 21 (ИП Гаджиева Мария Ивановна),Прямые продажи,100000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Анапа,MONOLITH -Development,Прямые продажи,150000,400000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости,Ангарск,Century 21,Прямые продажи,50000,250000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Апрелевка,Бюро недвижимости ИПОМАКС,Прямые продажи,80000,150000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Апрелевка,Бюро недвижимости ИПОМАКС,Прямые продажи,80000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Белгород,Агентство недвижимости Риэлторский Центр,Прямые продажи,58000,200000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Владивосток,СДЕЛКИ.ПРО,Прямые продажи,70000,95000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Воронеж,Сити-Центр,Прямые продажи,50000,100000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Воронеж,Сота,Прямые продажи,37000,80000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Всеволожск,Всевриэлт,Прямые продажи,50000,150000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Грозный,Перспектива24-Грозный,Прямые продажи,30000,90000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Екатеринбург,МИЭЛЬ (ООО Единый Центр Недвижимости),Прямые продажи,60000,200000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Ижевск,ВЛАДИС,Прямые продажи,100000,500000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Ижевск,Полезные Люди,Прямые продажи,50000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Иркутск,Century 21,Недвижимость,80000,150000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Казань,Флэт,Прямые продажи,100000,150000,Гибкий график,От 1 года до 3 лет
Менеджер по продаже недвижимости,Калининград,Зеленый город,Прямые продажи,50000,120000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Кемерово,Этажи Сибирь,Прямые продажи,30000,70000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Кемерово,Этажи Сибирь,Прямые продажи,30000,70000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Клин,Защита,Прямые продажи,30000,80000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Комсомольск-на-Амуре,Резиденция - агентство недвижимости,Прямые продажи,70000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Краснодар,Century 21 (ИП Гаджиева Мария Ивановна),Продажа,70000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Краснодар,Century 21 (ИП Гаджиева Мария Ивановна),Прямые продажи,70000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Краснодар,PRO-Krasnodar Недвижимость (ИП Руденко Светлана Юрьевна),Прямые продажи,60000,70000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Красноярск,АКТИВ НЕДВИЖИМОСТИ (ИП Осколкова Наталья Владимировна),Прямые продажи,40000,250000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Красноярск,АН Доступное жилье,Менеджер по работе с клиентами,35000,65000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Красноярск,АРЕВЕРА-Недвижимость,Прямые продажи,50000,120000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Крымск,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Люберцы,Инком-Гарант,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Москва,Vysotsky Estate,Прямые продажи,80000,200000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Москва,Бюро недвижимости ИПОМАКС,Прямые продажи,80000,300000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Москва,Спутник,Прямые продажи,100000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Москва,Этажи Москва,Прямые продажи,120000,300000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Москва,Этажи Москва,Прямые продажи,120000,300000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости,Москва,Этажи Москва,Прямые продажи,150000,350000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Нижний Новгород,Орион НН,Прямые продажи,70000,350000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости,Новороссийск,MONOLITH -Development,Прямые продажи,150000,400000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости,Новороссийск,Краевой центр недвижимости,Прямые продажи,80000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Новороссийск,Этажи Юг,Прямые продажи,40000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Новосибирск,Новактив,Прямые продажи,100000,250000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Одинцово,Этажи Москва,Прямые продажи,150000,500000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Оренбург,ПРАЙД Недвижимость,Прямые продажи,35000,120000,Полный день,Более 6 лет
Менеджер по продаже недвижимости,Пермь,Century21 PermGrad,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Подольск,Кротов Михаил Михайлович,Оценка,50000,200000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,посёлок городского типа Афипский,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,поселок городского типа Ахтырский,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,поселок городского типа Ильский,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Ростов-на-Дону,АН Магазин Квартир,Прямые продажи,50000,250000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Ростов-на-Дону,Мегаполис-Сервис,Строительство,50000,200000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Самара,Милана Недвижимость,Прямые продажи,50000,95000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Санкт-Петербург,Веллдом,Прямые продажи,135000,350000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости,Санкт-Петербург,Фонд новостроек,Прямые продажи,100000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Санкт-Петербург,Фонд новостроек,Прямые продажи,100000,400000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Санкт-Петербург,Этажи Северо-Запад,Прямые продажи,100000,500000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Саратов,JCat.ru,Агент,70000,200000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Саратов,JCat.ru,Строительство,70000,200000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,Севастополь,Херсонес,Прямые продажи,100000,300000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости,село Высокая Гора,ОК,Прямые продажи,80000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости,село Столбище,ОК,Прямые продажи,80000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Симферополь,Адреса,Прямые продажи,110000,250000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Славянск-на-Кубани,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,станица Варениковская,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,станица Марьянская,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,станица Полтавская,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,станица Северская,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,станица Старотитаровская,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,станица Тамань,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,станица Холмская,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Сургут,Этажи Урал,Страхование недвижимости,80000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Темрюк,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Тобольск,РЦН ПЕРСПЕКТИВА,Прямые продажи,50000,90000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости,Улан-Удэ,Байкальская Гавань,Прямые продажи,40000,70000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости,Ульяновск,Союз,Прямые продажи,40000,100000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Уфа,Рио-Люкс,Прямые продажи,80000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Череповец,Эксперт,Прямые продажи,50000,200000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Черняховск,Агентство недвижимости Авеню-Риэлт Владис,Прямые продажи,70000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Юрга,Этажи Сибирь,Прямые продажи,30000,50000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Ярославль,АН 76 регион,Прямые продажи,40000,130000,Полный день,Нет опыта
Менеджер по продаже недвижимости,Ярославль,Олимп,Прямые продажи,70000,120000,Полный день,Нет опыта
Менеджер по продаже недвижимости ( с обучением),Киров,Риэлти групп,Прямые продажи,90000,150000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости (без поиска клиентов),Новочеркасск,Центр недвижимости Наследие,Прямые продажи,40000,160000,Гибкий график,Нет опыта
"Менеджер по продаже недвижимости (возможно совмещение), бесплатное обучение",Нижний Тагил,МИЭЛЬ (ООО Единый Центр Недвижимости),Прямые продажи,50000,200000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости (Всеволожск),Всеволожск,Русский Фонд Недвижимости,Прямые продажи,80000,250000,Полный день,Нет опыта
Менеджер по продаже недвижимости (входящий поток клиентов),Каменск-Шахтинский,Центр недвижимости Наследие,Прямые продажи,40000,70000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости (входящий поток),Аксай,Центр недвижимости Наследие,Прямые продажи,40000,100000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости (входящий поток),Ростов-на-Дону,Центр недвижимости Наследие,Прямые продажи,62000,128000,Полный день,Нет опыта
Менеджер по продаже недвижимости (жилой),Тула,ТВИНСЕРВИС,Прямые продажи,50000,100000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости (застройщик),Краснодар,РОМЕКС GROUP,Прямые продажи,80000,120000,Гибкий график,От 1 года до 3 лет
Менеджер по продаже недвижимости (ЗЖМ),Ростов-на-Дону,Мегаполис-Сервис,Агент,50000,200000,Полный день,Нет опыта
Менеджер по продаже недвижимости (м. Ломоносовский Проспект),Москва,Vysotsky Estate,Прямые продажи,100000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости (офис на ул. Мачуги),Краснодар,Агентство недвижимости АЯКС,Прямые продажи,70000,300000,Полный день,Нет опыта
Менеджер по продаже недвижимости (переквалификация для специалистов с автомобильной сферы),Тюмень,ОН Перспектива24 (ИП Кипрюшин Олег Анатольевич),Прямые продажи,60000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости (Риелтор),Абакан,ПБ Глорис,Прямые продажи,50000,150000,Полный день,От 1 года до 3 лет
Менеджер по продаже недвижимости (риелтор) г.Сочи,Сочи,Сеть офисов ФОРУМ НЕДВИЖИМОСТЬ,Прямые продажи,80000,200000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости (риэлтор),Чебоксары,Зодчий,Агент,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости (стажер),Санкт-Петербург,МИРОС-НЕДВИЖИМОСТЬ,Прямые продажи,60000,120000,Полный день,Нет опыта
Менеджер по продаже недвижимости / Специалист по недвижимости,Челябинск,АН Премьер-Сити,Управление продажами,70000,105000,Полный день,Нет опыта
Менеджер по продаже недвижимости / Риелтор (Стажер),Москва,Замоскворечье,Прямые продажи,100000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости / риэлтор,Севастополь,Херсонес,Прямые продажи,70000,120000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости в г. Уфа,Уфа,АН БЕРИКЛЮЧ,Прямые продажи,80000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости в Казани с возможностью роста до руководителя,Казань,АН Жилфонд (ООО Жилфонд Казань),Прямые продажи,80000,520000,Полный день,Нет опыта
Менеджер по продаже недвижимости в Октябрьском районе,Улан-Удэ,Байкальская Гавань,Агент,40000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости в Советском районе,Улан-Удэ,Байкальская Гавань,Агент,35000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости на Северной стороне / риэлтор,Севастополь,Херсонес,Прямые продажи,70000,120000,Гибкий график,Нет опыта
Менеджер по продаже недвижимости от застройщиков,Владивосток,Союз Застройщиков (ИП Степанян Михаил Карушевич),Прямые продажи,60000,250000,Полный день,Нет опыта
Менеджер по продаже недвижимости С ОКЛАДНОЙ ЧАСТЬЮ!,Волгоград,Премьер Недвижимость,Прямые продажи,70000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости с окладом,Абинск,Золотая арка,Прямые продажи,50000,150000,Полный день,Нет опыта
Менеджер по продаже недвижимости( офис в Центре),Владимир,Квартирный ответ,Прямые продажи,60000,80000,Полный день,Нет опыта
Менеджер по продаже недвижимости(без поиска),Шахты,Центр недвижимости Наследие,Прямые продажи,40000,70000,Полный день,Нет опыта
Менеджер по продаже недвижимости.,Сертолово,Русский Фонд Недвижимости,Прямые продажи,80000,250000,Полный день,Нет опыта
Менеджер по продаже недвижимости/Агент,Иркутск,ZOLTOR24 (ООО Единый Центр Недвижимости),Прямые продажи,70000,250000,Полный день,Нет опыта
Менеджер по продаже недвижимости/агент (клиенты с нас),Краснодар,КУБАНЬ-НОВОСТРОЙ,Прямые продажи,90000,500000,Полный день,Нет опыта
Менеджер по продаже недвижимости/Начинающий специалист в сфере недвижимости,Ростов-на-Дону,Гриф-недвижимость,Прямые продажи,50000,200000,Полный день,Нет опыта
Менеджер по продаже недвижмости,Краснодар,Century 21 (ИП Гаджиева Мария Ивановна),Прямые продажи,70000,300000,Полный день,Нет опыта
Менеджер по продаже новостроек,Берёзовский,НОВО-СИТИ,Прямые продажи,100000,150000,Полный день,Нет опыта
Менеджер по продаже новостроек,Владивосток,СДЕЛКИ.ПРО,Прямые продажи,75000,120000,Полный день,Нет опыта
Менеджер по продаже новостроек,Екатеринбург,НОВО-СИТИ,Прямые продажи,130000,150000,Полный день,От 1 года до 3 лет
Менеджер по продаже новостроек,Пермь,Century21 PermGrad,Прямые продажи,75000,250000,Полный день,Нет опыта
Менеджер по продаже новостройки,Красноярск,АН Квадрат,Прямые продажи,60000,200000,Полный день,Нет опыта
Менеджер по продаже объектов недвижимости,Севастополь,Херсонес,Прямые продажи,70000,120000,Гибкий график,Нет опыта
Менеджер по продаже объектов недвижимости,Симферополь,Центр Недвижимости РК г. Симферополь,Прямые продажи,50000,200000,Гибкий график,Нет опыта
Менеджер по продаже строящейся недвижимости (риэлтор),Санкт-Петербург,Потенциал Недвижимости,Прямые продажи,100000,250000,Полный день,Нет опыта
Менеджер по продаже услуг (недвижимость),Санкт-Петербург,Владис Центральный,Услуги для населения,80000,200000,Полный день,Нет опыта
Менеджер по продаже элитной недвижимости,Воронеж,Ассоциация Галерея Чижова,Прямые продажи,50000,150000,Полный день,От 1 года до 3 лет
Менеджер по продаже элитной недвижимости,Москва,Времена года,Прямые продажи,100000,500000,Полный день,От 1 года до 3 лет
Менеджер по продаже/аренде коммерческой недвижимости,Москва,TPIcompany,Прямые продажи,100000,300000,Полный день,От 3 до 6 лет
Менеджер по продукту,Краснокамск,Инженерно-проектный центр Прайм,Менеджмент продукта (Product manager),30000,70000,Полный день,От 1 года до 3 лет
Менеджер по продукту,Москва,Группа компаний «Gemini Electro»,Менеджмент продукта (Product manager),70000,100000,Полный день,От 3 до 6 лет
Менеджер по продукту,Москва,Дельвента,Менеджмент продукта (Product manager),60000,80000,Полный день,От 1 года до 3 лет
Менеджер по продукту,Москва,Русклимат,Менеджмент продукта (Product manager),80000,120000,Полный день,От 3 до 6 лет
"Менеджер по продукту (fashion, одежда) / Ведущий конструктор",Москва,Малов Артём Сергеевич,Менеджмент продукта (Product manager),80000,120000,Полный день,От 1 года до 3 лет
Менеджер по продукту (серверное оборудование),Екатеринбург,НАГ,Менеджмент продукта (Product manager),80000,110000,Полный день,От 1 года до 3 лет
Менеджер по продукту / Product Manager,Курск,Курский электроаппаратный завод,Менеджмент продукта (Product manager),35000,55000,Полный день,Нет опыта
Менеджер по проектам,Белгород,Системы Нефть и Газ,Программирование,35000,35000,Полный день,От 1 года до 3 лет
Менеджер по проектам,Калининград,Бербекс,Программирование,60000,120000,Полный день,От 1 года до 3 лет
Менеджер по проектам,Калининград,МК Сталь,Программирование,40000,70000,Полный день,Нет опыта
Менеджер по проектам,Кемерово,РСО,Прямые продажи,35000,90000,Полный день,От 1 года до 3 лет
Менеджер по проектам,Королёв,Экомаф,Программирование,40000,100000,Полный день,От 1 года до 3 лет
Менеджер по проектам,Красноярск,СибМарин Трейд,Программирование,42000,120000,Полный день,От 1 года до 3 лет
Менеджер по проектам,Тамбов,Архградо,Программирование,20000,60000,Полный день,От 3 до 6 лет
Менеджер по проектам (дизайн интерьеров),Москва,Стильный Дом,Программирование,80000,130000,Полный день,От 1 года до 3 лет
Менеджер по проекту,Саратов,Опт-Лайн Плюс,Программирование,50000,70000,Полный день,От 1 года до 3 лет
Менеджер по работе инвесторами в недвижимость,Краснодар,Центр Новостроек Краснодара,Прямые продажи,129000,437000,Полный день,Нет опыта
Менеджер по работе с IT-аутсорсингом,Санкт-Петербург,585,Начальный уровень,62000,62000,Полный день,От 1 года до 3 лет
Менеджер по работе с IT-проектами,Челябинск,Некстайп,Программирование,45000,100000,Полный день,Нет опыта
Менеджер по работе с арбитражными управляющими (продажи),Самара,Агентство Оценки Гранд Истейт,Прямые продажи,50000,90000,Полный день,От 1 года до 3 лет
Менеджер по работе с арендаторами,Москва,Группа Компаний Основа,Прямые продажи,80000,80000,Полный день,От 3 до 6 лет
Менеджер по работе с арендаторами,Санкт-Петербург,Концерн Энерготехнологии,Прямые продажи,50000,60000,Полный день,От 1 года до 3 лет
Менеджер по работе с блогерами,Москва,Менделейка,Производство рекламы,80000,120000,Удаленная работа,От 1 года до 3 лет
Менеджер по работе с блогерами,Москва,Студия Эпиляции Mana,Производство рекламы,50000,150000,Полный день,От 1 года до 3 лет
Менеджер по работе с блогерами (удаленно),Санкт-Петербург,Коряковцев Филипп Викторович,Производство рекламы,15000,35000,Удаленная работа,От 1 года до 3 лет
Менеджер по работе с блогерами / Influence manager,Москва,Эстилаб Рус,Производство рекламы,60000,180000,Полный день,От 3 до 6 лет
Менеджер по работе с блогерами / Tik Tok - менеджер,Москва,Фовин,Производство рекламы,50000,80000,Полный день,От 1 года до 3 лет
Менеджер по работе с блогерами и продвижению бренда одежды,Москва,ЖэТэ-Транс Лимитед,Производство рекламы,100000,125000,Полный день,Более 6 лет
Менеджер по работе с входящими обращениями,Пермь,Ростелеком,Начальный уровень,30100,44940,Полный день,Нет опыта
Менеджер по работе с готовой базой вторичной недвижимости,Йошкар-Ола,AFFINITY ESTATE (ООО Аффинити Эстейт),Прямые продажи,70000,150000,Полный день,От 1 года до 3 лет
Менеджер по работе с действующими клиентами,Ижевск,Тензор-Удмуртия,Менеджмент продукта (Product manager),50000,120000,Полный день,Нет опыта
Менеджер по работе с должностными инструкциями,Москва,Прогрессорское бюро,Рекрутмент,70000,90000,Полный день,От 1 года до 3 лет
Менеджер по работе с жилой и коммерческой недвижмисотью,Калуга,Новосел,Прямые продажи,55000,150000,Полный день,Нет опыта
Менеджер по работе с застройщиками/Руководитель проекта (алюминиевые светопрозрачные конструкции),поселок Первомайское,Алютех,Программирование,150000,150000,Полный день,От 3 до 6 лет
Менеджер по работе с инвесторами (недвижимость),Екатеринбург,Торги-ру,Прямые продажи,70000,250000,Полный день,Нет опыта
Менеджер по работе с клиентами,Вологда,Перспектива24-Вологда,Прямые продажи,35000,70000,Полный день,Нет опыта
Менеджер по работе с клиентами,Калининград,Эдисон,Программирование,40000,70000,Полный день,От 1 года до 3 лет
Менеджер по работе с клиентами,Красноярск,Альдента,Производство рекламы,28000,35000,Сменный график,Нет опыта
Менеджер по работе с клиентами,Санкт-Петербург,Разбокс,Программирование,40000,60000,Полный день,Нет опыта
Менеджер по работе с клиентами,Севастополь,Лидер-Информ,Прямые продажи,65000,85000,Полный день,Нет опыта
Менеджер по работе с клиентами,Севастополь,Центр Недвижимости РК,Прямые продажи,100000,350000,Гибкий график,Нет опыта
Менеджер по работе с клиентами,Симферополь,Адреса,Прямые продажи,75000,250000,Полный день,Нет опыта
Менеджер по работе с клиентами - дизайнер ( студия мебели ),Санкт-Петербург,LovkoStudio,Игровое ПО,40000,100000,Полный день,От 1 года до 3 лет
Менеджер по работе с клиентами ( недвижимость ) в Домодедово,Домодедово,Семь Высоток,Начальный уровень,70000,180000,Гибкий график,Нет опыта
Менеджер по работе с клиентами (аренда недвижимости),Мытищи,Абсолют Капитал Недвижимость,Прямые продажи,75000,130000,Полный день,Нет опыта
Менеджер по работе с клиентами (недвижимость),Воронеж,Сота,Прямые продажи,37000,80000,Гибкий график,Нет опыта
Менеджер по работе с клиентами (недвижимость),Саранск,Этажи Поволжье,Прямые продажи,45000,90000,Полный день,Нет опыта
Менеджер по работе с клиентами (недвижимость),Челябинск,Агентство недвижимости Все знают,Прямые продажи,50000,150000,Гибкий график,Нет опыта
Менеджер по работе с клиентами (Строительство загородной недвижимости),Тюмень,УК Гудвилл,Прямые продажи,60000,300000,Полный день,От 1 года до 3 лет
Менеджер по работе с клиентами в магазин KERAMA MARAZZI,Таганрог,KERAMA MARAZZI,Менеджмент продукта (Product manager),40000,62000,Полный день,Нет опыта
Менеджер по работе с клиентами и партнерами,Архангельск,ОН Перспектива 24,Прямые продажи,35000,60000,Полный день,Нет опыта
Менеджер по работе с клиентами и привлечению инвестиций (Загородная недвижимость),Санкт-Петербург,Удачная стройка,Розничная торговля,30000,250000,Полный день,От 1 года до 3 лет
Менеджер по работе с клиентами компании и арендодателями,Симферополь,Comfort-an,Прямые продажи,35000,40000,Полный день,Нет опыта
Менеджер по работе с клиентами отдела купли продажи коммерческой недвижимости,Санкт-Петербург,Агентство недвижимости Екатерины Лапиной,Прямые продажи,50000,500000,Полный день,От 1 года до 3 лет
Менеджер по работе с клиентами/аккаунт менеджер (удаленно),Москва,Свектор+,Производство рекламы,60000,140000,Удаленная работа,От 1 года до 3 лет
Менеджер по работе с коммерческой недвижимостью,Владивосток,Бубль Гум,Прямые продажи,70000,120000,Полный день,От 1 года до 3 лет
Менеджер по работе с коммерческой недвижимостью,Воронеж,Регион Бизнес Недвижимость г. Воронеж,Прямые продажи,50000,200000,Полный день,От 1 года до 3 лет
Менеджер по работе с коммерческой недвижимостью,Калининград,Авантаж,Прямые продажи,40000,55000,Полный день,От 3 до 6 лет
Менеджер по работе с коммерческой недвижимостью,Самара,Группа Компаний Визит,Недвижимость,30000,80000,Полный день,Нет опыта
"Менеджер по работе с маркетплейсами (Ozon, Wb, Aliexpress)",Курск,Родионов Александр Юрьевич,Программирование,25000,30000,Полный день,Нет опыта
"Менеджер по работе с маркетплейсами (OZON, Wildberries)",Смоленск,Strongpol,Производство рекламы,30000,70000,Полный день,От 1 года до 3 лет
Менеджер по работе с маркетплейсами/Аналитик маркетплейсов/Специалист маркетплейсов,Москва,Ал Самак Мохаммад Махди,Другое,40000,100000,Полный день,От 1 года до 3 лет
Менеджер по работе с маркетплэйсами (e-commerce),Москва,Онлайн Экспо,Программирование,65000,130000,Полный день,От 1 года до 3 лет
Менеджер по работе с недвижимостью,Барнаул,Агентство недвижимости Аккорд,Прямые продажи,75000,100000,Полный день,Нет опыта
Менеджер по работе с недвижимостью,Барнаул,Агентство недвижимости Династия 24,Прямые продажи,45000,60000,Полный день,Нет опыта
Менеджер по работе с недвижимостью,Екатеринбург,ГК КВИКО,Прямые продажи,30000,230000,Полный день,От 1 года до 3 лет
Менеджер по работе с недвижимостью,Екатеринбург,ЦН Гранат,Прямые продажи,32000,260000,Гибкий график,Нет опыта
Менеджер по работе с недвижимостью,Казань,Бест-Недвижимость Казань,Прямые продажи,70000,150000,Полный день,Нет опыта
Менеджер по работе с недвижимостью,Подольск,Агентство недвижимости Белые Паруса,Прямые продажи,90000,280000,Полный день,Нет опыта
Менеджер по работе с недвижимостью,Подольск,Семь Высоток,Продажа,70000,300000,Гибкий график,Нет опыта
Менеджер по работе с недвижимостью ( оклад + %),Барнаул,Агентство недвижимости Аккорд,Прямые продажи,75000,100000,Полный день,Нет опыта
"Менеджер по работе с недвижимостью (ул.Комарова, 112)",Челябинск,Дан-Инвест,Прямые продажи,70000,120000,Полный день,Нет опыта
Менеджер по работе с недвижимостью / риэлтор,Мытищи,Абсолют Капитал Недвижимость,Менеджмент продукта (Product manager),100000,225000,Полный день,Нет опыта
